abstract,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,most_probable_topic
"the effect of fluctuating seasonal temperatures on the release of soluble no3-n, nhj-n, soluble organic n (son), and solube organic c (soc) into drainage effluent during soil organic matter mineral-ization was measured on organic soil profiles obtained intact from various locations in florida. the amounts of n mineralized ranged from 410 to 938 kg n-ha~•year\1 for cultivated soils and 874 to 1,250 kg-ha\-year~ for virgin soils. nitrate accounted for 48 to 81% of the total n in the effluent, while son accounted for about 16 to 45% of the total n. remaining 2 to 7% of the total n in the effluent was nhj. soluble organic c in the leachate accounted for about 1,795 to 3,516 kg c-ha~-year1. seasonal fluctuations in temperatures had minimal effects on the release of son, soc, and nhj, but the release of no 7 was increased with an increase in average daily temperature (9.4 to 30°c) with q10 values ranging from 1.3 to 1.9. flooding the organic soils increased the son and soc release into the effluents by about two-fold, compared to drained conditions. total n loss in 1 year as a result of organic matter mineralization was about 1.3 to 4.2% of the total soil organic n.",0.71522325,0.003134967,0.0031351296,0.0031350984,0.0031350197,0.0031350814,0.2565611,0.0031350835,0.0031353827,0.0031349778,0.0031349412,Microbial activity and organic carbon in soil
"the quantiﬁcation of nitrogen (n) supplying capacity of organic amendments applied to a soil is of immense importance to examine synchronization, n release capacity, and fertilizer values of these added materials. the aims of the present study was to determine the potential n mineralization and subsequent nitriﬁcation of separate and combined use of poultry manure (pm), wheat straw residues (wsr), and urea n (un) applied to a loam soil incubated periodically over 140 days period. in addition, changes in total soil n and carbon contents were also monitored during the study. treatments included: pm 100, wsr 100, pm 50cwsr 50, un 100, un 50cpm50, un 50cwsr 50, un50cpm25cwsr 25, and a control (unfertilized). all the amendments were applied on an n-equivalent basis at the rate of 200 mg n kg",0.09010626,0.004329552,0.004329629,0.00432933,0.004329481,0.0043295636,0.090744,0.004329369,0.2187565,0.5700868,0.004329515,Gross fertilizer rates and species-specific growth
"this study used inoculated, artificial soil microcosms containing sand, clay, cellulose, and localized “hotspots” of highly labile, organic n-containing dead bacteria to study n mineralization and assimilation at millimeter scales. labeling with 15nh+4 along with measurement of its assimilation into microbial biomass at the bulk scale allowed estimation of gross rates of ammonification and n assimilation using isotope dilution. time-of-flight secondary ion mass spectrometry (tof-sims) analyses of transects of organic-15n across si wafers in contact with the microcosms indicated strong gradients of 15nh+4 assimilation as a function of proximity to the hotspots that were not apparent using bulk analyses. this combination of bulk and tof-sims analyses represents a powerful approach to explore the physical and biochemical factors that affect n process heterogeneities in soils.",0.0043299897,0.004329464,0.00432951,0.004329285,0.004329368,0.004329426,0.0043293866,0.0043292856,0.004329474,0.055866055,0.9051687,Net mineralizable nitrogen in laboratory and field studies
"the objectives of this study were to develop a model for soil organic matter (som) nitrogen (n) mineralization that required minimal inputs, to test the model using independent data sets, and to determine if the results could be used in adjusting commercial n fertilizer recommendations. a sequential 1st order model where n pool i mineralized before n pool ii mineralized was first evaluated but was not used because n pool i was an experimental artifact due to a n mineralization flush that resulted from drying soil at 40 ˚c, then rewetting. the n pool ii portion of the sequential model which was not impacted by drying and rewetting replaced the sequential model. the rate constant for n pool ii, k ii, was a constant that was adjusted monthly for differences in soil temperature and moisture. a daily time step was used to allow n mineralization estimates from one date to another. simulations began in the month where temperature exceeded 10°c. model predictions were compared to those in published studies in northern california and illinois.",0.15120846,0.0029329187,0.0029330975,0.21900655,0.6063208,0.0029328405,0.0029328787,0.0029328875,0.0029329367,0.002933509,0.002933125,Organic matter mineralization and estimation models
"the objectives were i) to assess indicators for potential nitrogen (n) mineralization and ii) to analyze their relationships for predicting winter wheat (triticum aestivum l.) growth parameters (yield and n uptake, n up) in mollisols of the semi-arid and semi-humid region of the argentine pampas. thirty-six farmer fields were sampled at 0 –20 cm. several n mineralization indicators, wheat grain yield and n up at physiological maturity stage were assessed.",0.006493941,0.006494171,0.006494324,0.006494325,0.10170031,0.27616325,0.5701825,0.006494167,0.006494085,0.006494651,0.006494295,Winter wheat and spring pea intercropping
"soil nitrogen (n) mineralization rates from different agricultural regions in california were determined and related to soil properties. undisturbed soil cores were sampled in spring from 57 fields under annual crop rotations and incubated at 25 ℃for 10 weeks. soil properties varied across and within regions, most notably those related to soil organic matter (som), with total soil carbon ranging from 6 to 198 g kg−1. multivariate linear regression was used to select soil properties that best predicted n mineralization rates. regression models with a good fit differed between soils with high and low som contents, but generally included a measure of som quantity, its quality as well as soil texture or mineralogy. adjusted r2values were 0.95 and 0.60 for high and low som soils, respectively. this study has shown that information on soil properties can contribute to better estimates of n mineralization in soils of contrasting characteristics.",0.1471649,0.0033674652,0.0033679155,0.0033676028,0.6745544,0.0033673937,0.0033678021,0.15133992,0.0033675353,0.0033675153,0.0033675905,Organic matter mineralization and estimation models
soil nitrogen mineralization kinetics were studied for eight treatments of two soils in an ...,0.09090909,0.09090909,0.09090909,0.09090909,0.09090909,0.09090909,0.09090909,0.09090909,0.09090909,0.09090909,0.09090909,Microbial activity and organic carbon in soil
"concern over climate change has stimulated interest in the temperature and moisture dependence of soil organic matter decomposition. in particular, there has been intense debate in relation to the factors that determine the temperature dependence of c mineralization. we examined temperature and moisture responses of c and n mineralization in an 85-d laboratory incubation...",0.76339024,0.006993801,0.006993534,0.006993308,0.006994101,0.006993412,0.0069934926,0.17366429,0.0069937925,0.0069942996,0.0069957357,Microbial activity and organic carbon in soil
"precise quantification of nitrogen (n) mineralization in animal manure from different productivity level management zones (mzs) could result in efficient and safe utilization of manure as n fertilizer. the objective of this study was to compare n mineralization rates of dairy cattle manure within and across three productivity level mzs. to accomplish this, a 120 day laboratory incubation study was conducted at the natural resources ecology laboratory at...",0.004132441,0.95867425,0.0041325954,0.004132639,0.0041324506,0.004132542,0.004132489,0.004132488,0.004132771,0.0041326927,0.0041326443,Organic manure and crop research
"three ﬁeld experiments were conducted on gray luvisol (typic cryoboralf) soils in northeastern saskatchewan to compare the effects of alfalfa (medicago sativa leyss) stand termination with tillage and herbicides at different times on mineral nitrogen(n) (ammonium-n and nitrate-n) and moisture content of soil in spring (experiments1 and 2), soil moisture, volunteer alfalfa and dandelion control, plant density, seed yield, protein concentration and n uptake for wheat (triticum aestivum l.), barley (hordeum vulgare l), canola (brassica rapa l.), and pea (pisum sativum l.) crops (experiment 3). termination treatments included combinations of times (in mid-juneafter cut 1, in mid-august after cut 2 and in mid-may during spring) and methods [tillage alone, herbicides alone (glyphosate +2,4-d amine and also clopyralid +2,4-d ester in experiment 3) and these herbicides +tillage]. tillage alone signiﬁcantly increased spring soil nitrate-n levels over herbicides alone or herbicides +tillage. termination after cut 1 had the highest levels of soil nitrate-n. there was little effect of time and method oftermination on soil ammonium-n and moisture content in spring. herbicides +tillage generally provided better control of both volunteer alfalfa and dandelion in the fourcrops than tillage or herbicides alone. in general, alfalfa termination with herbicidesalone signiﬁcantly reduced plant density, seed yield, and n uptake of all crops and",0.0025976698,0.002597614,0.0025977243,0.002597632,0.002597583,0.002597669,0.97402346,0.002597673,0.002597723,0.0025976708,0.0025975169,Winter wheat and spring pea intercropping
"a three-year organic crop rotation was set up in a field with sandy loam soil, with a cover crop of rye and vetch grown over the three autumn/winter seasons for green manure, followed by potato and lettuce (1st year), swiss chard and turnip (2nd year), and portuguese cabbage and carrot (3rd year). nitrogen (n) mineralisation was determined by field incubation in response to green manure (gm), gm with 20 and 40 t ha−1 farmyard manure (fym) compost (c20 and c40) and gm with 1 and 2 t ha−1 of commercial organic fertiliser (cf1 and cf2). the second season crops (lettuce, turnip and carrot) yields were higher for the treatment c40 compared to all other treatments because most of the commercial fertiliser was mineralised during the previous crop. swiss chard, grown in a short season (54 days), produced higher yield for cf2 compared with c40. however, this was not true for potato (1st year), probably because of increased compost mineralised n recovery during the longer growing season for the potatoes (124 days), nor for the cabbage (3rd year), which had a short growing season (56 days), because of increased n availability with continuous compost and green manure application. this study highlighted that field incubation can be used to assess mineralisation rates and that the fast n release of commercial fertilisers increased the yield of the first crop of the year, whereas the slowly released n of fym compost increased yield of both crops of the year, with lower risk of n loss.",0.0018184109,0.26416692,0.0018185278,0.59533906,0.0018183267,0.0018184893,0.0018183944,0.12594655,0.0018185753,0.0018183662,0.0018183911,Crop modeling and fertilizer management
"soil gross nitrogen (n) mineralization (gnm), a key microbial process in the global n cycle, is mainly controlled by climate and soil properties. this study provides for the first time a comprehensive analysis of the role of soil physicochemical properties and climate and their interactions with soil microbial biomass (mb) in controlling gnm globally. through a meta-analysis of 970 observations from 337 published papers from various ecosystems, we found that gnm was positively correlated with mb, total carbon, total n and precipitation, and negatively correlated with bulk density (bd) and soil ph. our multivariate analysis and structural equation modeling revealed that gnm is driven by mb and dominantly influenced by bd and precipitation. the higher total n accelerates gnm via increasing mb. the decrease in bd stimulates gnm via increasing total n and mb, whereas higher precipitation stimulates gnm via increasing total n. moreover, the gnm varies with ecosystem type, being greater in forests and grasslands with high total carbon and mb contents and low bd and ph compared to croplands. the highest gnm was observed in tropical wet soils that receive high precipitation, which increases the supply of soil substrate (total n) to microbes. our findings suggest that anthropogenic activities that affect soil microbial population size, bd, soil substrate availability, or soil ph may interact with changes in precipitation regime and land use to influence gnm, which may ultimately affect ecosystem productivity and n loss to the environment.",0.38881877,0.0019764388,0.0019764611,0.0019765364,0.0019765699,0.0019764532,0.082905196,0.0019764332,0.0019765368,0.0019766954,0.5124639,Net mineralizable nitrogen in laboratory and field studies
"tree planting is an important way to restore degraded areas, however, the quality of the plant residue added to the soil influences the organic matter decomposition rate and, consequently, carbon availability...",0.6512688,0.009091805,0.26690686,0.009091538,0.009091324,0.009091158,0.009091391,0.009092507,0.009091459,0.009091756,0.009091427,Microbial activity and organic carbon in soil
"living plants have been reported to stimulate, inhibit, or have no effect on net nitrogen mineralization in soil. a series of experiments were conducted to evaluate the inﬂuence of living oat plants avena sativa on net n mineralization. oat plants were grown in plastic cylinders containing soil, and net n mineralization was assessed by determining the n balance in these microcosms. measured n inputs included n contained in the oat seeds andn2ﬁxation. n losses by nh 3volatilization and denitriﬁcation were also measured. we observed that in some soils net n mineralization was stimulated by as much as 81%, but in other soils there was no effect of living oat plants on net n mineralization. n mineralization responses are related to past cropping histories of the soils.",0.006493904,0.006494077,0.006494534,0.30517554,0.0064943554,0.006494538,0.0064944853,0.0064945123,0.14259896,0.006493838,0.50027126,Net mineralizable nitrogen in laboratory and field studies
"the total nitrogen (n) benefit of field pea (pisum sativum) to a succeeding non-legume crop was measured in a small plot experiment. the total n benefit was calculated as the difference in net n mineralized from soil plus n in the above- and below-ground crop residue between field pea and non-legume stubble-cropped plots over the growing season. keywords: pisum sativum, triticum aestivum, hordeum vulgare, brassica rapa, linum usitatissimum, total nitrogen benefit.",0.004329761,0.004329187,0.004329249,0.0043292153,0.004329341,0.0043292395,0.00432939,0.9567068,0.00432931,0.0043291952,0.0043293326,Legume root dynamics in crop residue management
"a reliable laboratory index of n availability would be useful for making n recommendations, but no single approach has received broad acceptance across a wide range of soils. we compared several indices over a range of soil conditions to test the possibility of combining indices for predicting potentially mineralizable n (n0). soils (0–5 and 5–15 cm) from nine tillage studies across the southern usa were used in the evaluations. long-term incubation data were fit to a first-order exponential equation to determine n0, k (mineralization rate), and n0* (n0 estimated with a fixed k equal to 0.054 wk−1). out of 13 indices, five [total c (tc), total n (tn), n mineralized by hot kcl (hot_n), anaerobic n (ana_n), and n mineralized in 24 d (nmin_24)] were strongly correlated to n0 (r > 0.85) and had linear regressions with r2 > 0.60. none of the indices were good predictors of k. correlations between indices and n0* improved compared with n0, ranging from r = 0.90 to 0.95. total n and flush of co2 determined after 3 d (fl_co2) produced the best multiple regression for predicting n0 (r2 = 0.85) while the best combination for predicting n0* (r2 = 0.94) included tn, fl_co2, cold_n, and naoh_n. combining indices appears promising for predicting potentially mineralizable n, and because tn and fl_co2 are rapid and simple, this approach could be easily adopted by soil testing laboratories.",0.0029330368,0.002933006,0.1308966,0.0029329443,0.4988871,0.0029328307,0.002933008,0.002932821,0.0029328994,0.002932897,0.34675288,Organic matter mineralization and estimation models
"aerobic incubation experiments were conducted in organic surface samples collected from arable soils of philippoi, in northern greece. laboratory experiments were carried out to investigate the nitrogen (n) mineralized from soils and sugar beet residues incorporated into the soils. cumulative mineralization of n, potentially mineralizable nitrogen (n 0), and mineralization rate constant k were estimated after 30 continuous incubation weeks at 35 8c. total n content of soils ranged between 6.6 and 19.2 g kg21, total soil carbon from 119 to 309 g kg21, soil organic carbon ranged from 119 to 308 g kg21, and the c : n ratio varied from 13.5 to 18.3. the cumulative net mineralized n ranged between 132 and 426 mg kg21for nonamended soil and between 165 and 586 mg kg21for residue-amended soil. nitrate was the main form of mineralized n, although appreciable amounts of ammonium were measured. potentially mineralizable nitrogen (n 0) varied between 254 and 1067 mg kg21for non-amended soil and 311–1465 mg n kg21in residue-treated soil. the mineralization constant k was between 0.052 and 0.068 (week21). close relationships between total soil n and soil organic carbon, and between cumulative mineralization and total soil n were found. mineralization occurred rather rapidly, although the amount of mineralized n per week was reduced in the later weeks of incubation. variation in net mineralization among soil samples can be attributed to soil organic matter content, origin, and state of decomposition, as well as differences in management histories.",0.6913297,0.0020204806,0.0020206275,0.0020205933,0.2904859,0.0020203495,0.0020205297,0.0020204491,0.0020204056,0.0020204948,0.0020204745,Microbial activity and organic carbon in soil
"soil compaction may retard decomposition of organic matter and n mineralization and increase gaseous losses of n. we studied the effect of soil compaction on the turnover of n from added organic materials in pots with italian-ryegrass (lolium multiflorum lam.) plants. solid cattle manure or 15n-labelled white-clover (trifolium repens l.) material was incubated at controlled temperature (15°c) and moisture (pf 2.4 or pf 1.8) in a sandy loam with a bulk density of 1.1 or 1.4 g cm-2. soil compaction reduced the volume of pores with neck dia >30 pm, i.e. pores available to nematodes, from 30.4 to 14.6% of total bulk volume. the results strongly suggest that n mineralization in compacted soil was reduced by increased physical protection of organic materials and microbial biomass against further attack, particularly by nematodes grazing on microorganisms., keywords: soil compaction, nitrogen mineralization, microbial biomass, organic matter, nematodes grazing, sandy loam",0.81417865,0.0031353966,0.003135207,0.0031352486,0.0031350756,0.0031351724,0.047943916,0.0031351554,0.11279601,0.0031350006,0.003135196,Microbial activity and organic carbon in soil
"during the 20th century, farmers around the world replaced legume rotations and other traditional sources of nitrogen (n) fertility with synthetic n fertilizers. asizable percentage of the human population now depends on synthetic n fertilizers for survival. in recent decades, n fertilizers have been linked to numerous environmental hazards including marine eutrophication, global warming, groundwater contamination, and stratospheric ozone destruction. some researchers suggest that legumes, which can support biological n2 fixation, offer a more environmentally sound and sustainable source of n to cropping systems. this perspective is countered by researchers who argue that, (1) legume-derived n has equally negative environmental impacts as the n derived from synthetic fertilizers, and (2) the human population now exceeds the carrying capacity of agricultural systems that depend on legumes for n inputs. in this review, we compare the sustainability of obtaining n from legume versus industrial sources in terms of ecological integrity, energetics and food security. we conclude that obtaining n from legumes is potentially more sustainable than from industrial sources. we further suggest that while some countries are fundamentally dependent on synthetic n for food production, many countries have the capacity to greatly reduce or eliminate dependence on synthetic n through adoption of less meat-intensive diets, and reduction of food waste.",0.0032469982,0.0032471644,0.0032472594,0.0032471975,0.0032469719,0.0032471884,0.0032471172,0.0032471064,0.96752864,0.0032470608,0.0032472413,Manure application effects on soil fertility
"plant residue inputs play a crucial role in regulating soil carbon (c) stock and nitrogen (n) availability in cropland. however, little is known regarding how plant inputs mediate the relationships between soil c and net n mineralization, causing additional uncertainty in predicting ecosystem c and n dynamics. this study investigated the influences of long-term deprivation of plant inputs, short-term addition of maize straw and experimental warming on soil c and net n mineralization and their relationships. taken together, this study provides evidence that plant inputs mediate the relationships between soil c and net n mineralization, and is thus critical in controlling ecosystem c and n cycling.",0.20329006,0.0036368568,0.76397794,0.0036367818,0.0036367567,0.003636724,0.0036371774,0.00363708,0.003636828,0.0036369308,0.0036368575,Organic fertilizers and plant ecosystem
"nitrogen (n) mineralized from soil organic matter (som) and crop residues is an important source of n to crop nutrition but historically has been difficult to account for in n fertilizer recommendation systems. here we propose and test relatively simple biogeochemical models that predict the contribution of n mineralization in supporting the yield of corn ( zea mays l.). the models are specifically designed to use soil and cover crop measurements that are easily accessible to farmers and agronomists, including soil carbon (c) concentration, 24-h co2respiration of a dried and rewetted soil sample, soil texture, and cover crop biomass n content and c/n ratio. we calibrated the models to explain variation of and predict unfertilized corn yield using a dataset of 73 observations compiled from nine experiments conducted in different sites and growing seasons in pennsylvania.",0.11693481,0.0028411683,0.13054131,0.5964424,0.002841315,0.002841095,0.0028411774,0.002841248,0.0028413115,0.0028411828,0.13619293,Crop modeling and fertilizer management
"this article discusses the nitrogen mineralization processes and measurement in temperate agricultural soils. the article explores the different pools and processes involved in the mineralization of nitrogen including soil organic matter, mineralization/immobilization, nitrification, and soil biomass. the article also describes the different methods used to measure and predict mineralization and the impact of mineralization. the article concludes by discussing future progress in this area of research.",0.2546129,0.006061205,0.6908349,0.006061619,0.0060611786,0.006061239,0.0060618133,0.0060610077,0.0060617323,0.0060609924,0.0060614343,Organic fertilizers and plant ecosystem
"soil compaction caused by highly mechanized agriculture can constrain soil microbial diversity and functioning. physical pressure on the soil decreases macropores and thereby limits oxygen diffusion. the associated shift from aerobic to anaerobic conditions can reduce nitriﬁcation and promote denitriﬁcation processes, leading to nitrogen (n) losses and n depletion that affect plant productivity. this study showed that soil compaction effects are proportional to the initial soil moisture content, which could serve as a good indicator of compaction severity on agricultural ﬁelds. however, the impact of soil compaction on crop performance and on microbial communities and functions associated with the n cycle were not necessarily aligned. these ﬁndings demonstrate that not only the soil physical properties but also various biological indicators need to be considered in order to provide more precise recommendations for developing sustainable farming systems.",0.0033674529,0.0033674592,0.003367906,0.0033677171,0.0033673726,0.9663247,0.0033676005,0.0033675495,0.0033674503,0.003367456,0.0033673388,Legume effects on wheat yield and microbial communities
"a combination of high biomass cover crops with organic mulches may be an option for no-till vegetable production, but information on mineralization rates from these residues is lacking. the objective of this study was to assess nutrient release rates and persistence from mimosa (albizia julibrissin durazz.), lespedeza [lespedeza cuneata (dum. cours.) g. don], oat (avena sativa l.) straw, and soybean [glycine max (l.) merr.] residues under conventional and conservation tillage. the experiment was conducted in tallassee, al using litterbag methodology in a split-plot design (main plots: two tillage systems; subplots: four residue types).",0.0045463806,0.0045460165,0.0045461613,0.7550135,0.0045460216,0.0045462,0.20407149,0.0045462055,0.0045460514,0.00454584,0.0045460896,Crop modeling and fertilizer management
"insight into nutrient cycling is gained by understanding the dynamics and quantifying nutrient mineralization from decomposing crop residues. since wheat(triticum aestivum l.), canola ( brassica napus l.) and pulse crops such as pea ( pisum sativum l.) are commonly grown in rotation, our objectives were to: (1) compare, using the mesh bag technique, the dry matter (dm)loss and release of n and p of straw and root residues ofthose crops in the 10–11 months following harvest, and (2) determine the influence of n fertilizer on residue decomposition and nutrient release. the no-tillage study started in autumn 1997 when straw residues were placed on the soil surface and root residues were buried in the soil, and sampled periodically through the 1998 growing season. wheat was grown in 1998 and received 0 or 60 kg n ha–1. the study was repeated in 1998/1999. wheat straw decomposed more slowly than canola or pea straw (losing an average of 12%, 24% and 25%, respectively, of initial dm in 10–11 months), however, the converse was noted for root residues (42%, 26% and19% of initial dm). average net n mineralization from wheat, canola and pea straw was essentially 0, 0.7 and 5.6 kg n ha–1, respectively. phosphorus released from straw ranged from 0.5 kg ha–1for pea to 0.75 kg ha–1 for canola. net n and p mineralization from root varied little between crop species: 0.9–1.6 kg n ha–1and 0.1–0.3 kg p ha–1. nitrogen fertilization increased dm loss, and n and p release from straw residues.",0.0017827281,0.0017826984,0.0017827582,0.0017826966,0.0017826807,0.001782653,0.49638745,0.48756826,0.0017826866,0.0017827465,0.0017826747,Winter wheat and spring pea intercropping
